s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 3.6600037E+003, 0.0000000E+000, 0.0000000E+000, 3.8507494E-001,-3.6407939E+000, 3.1913940E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3423542E-002,-6.4324891E-002,-1.8185720E-006
 3.6900012E+003, 0.0000000E+000, 0.0000000E+000, 3.8488831E-001,-3.6383295E+000, 3.1858818E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5884826E-002,-6.7559417E-002, 2.7579272E-006
 3.7200044E+003, 0.0000000E+000, 0.0000000E+000, 3.8382129E-001,-3.6267092E+000, 3.2039424E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5498738E-002,-3.8945509E-002,-7.3443303E-007
 3.7500020E+003, 0.0000000E+000, 0.0000000E+000, 3.8363208E-001,-3.6012602E+000, 3.1849039E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6114951E-003,-3.2724242E-002,-2.1676225E-006
 3.7800051E+003, 0.0000000E+000, 0.0000000E+000, 3.8187904E-001,-3.6508662E+000, 3.1988918E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8939613E-002,-7.0095348E-002, 2.2401094E-006
 3.8100027E+003, 0.0000000E+000, 0.0000000E+000, 3.8238072E-001,-3.5864195E+000, 3.1204589E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2733982E-002,-8.3579906E-002, 1.7740613E-006
 3.8400002E+003, 0.0000000E+000, 0.0000000E+000, 3.8299806E-001,-3.5909247E+000, 3.1278680E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5549784E-002,-8.0058681E-002,-2.6793956E-006
 3.8700034E+003, 0.0000000E+000, 0.0000000E+000, 3.8166236E-001,-3.5717740E+000, 3.1401426E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4698528E-003,-4.9969091E-002, 2.7150426E-006
 3.9000010E+003, 0.0000000E+000, 0.0000000E+000, 3.7992798E-001,-3.5500839E+000, 3.1418007E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9788546E-002,-2.8355289E-002, 5.9299794E-004
 3.9300042E+003, 0.0000000E+000, 0.0000000E+000, 3.7606644E-001,-3.6804455E+000, 3.2427433E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7579136E-003,-6.1635801E-002, 8.8373264E-003
 3.9600017E+003, 0.0000000E+000, 0.0000000E+000, 3.7450577E-001,-3.6989889E+000, 3.2412889E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5628056E-002,-8.3194236E-002, 9.1778510E-007
